fault_type,severity,culprit,delta,fault_alone,drift_alone,ratio,degraded,harmful,valid,n_operators,lattice,model_fits,cache_hit_rate,frontier,anchored_eff_gap,loo_eff_gap,shapley_p@1,shapley_mrr,anchored_p@1,anchored_mrr,loo_p@1,loo_mrr,drift_p@1,drift_mrr,stagewise_p@1,stagewise_mrr
unit_change,/30,derive_time,0.006775566664615873,-0.001647470279669494,0.010437831210177828,0.15783645534170562,False,False,False,9,512,4,0.9887372752869829,2,2.168404344971009e-18,0.002014794265892461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
unit_change,/10,derive_time,0.0010098217808329757,-0.0028866416056145816,0.010437831210177828,0.276555689346638,False,True,False,9,512,4,0.9887372752869829,2,3.469446951953614e-18,0.006541367823730271,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
unit_change,/2,derive_time,-0.003133919535006968,-0.003484065354189547,0.010437831210177828,0.3337920765371516,True,True,True,9,512,4,0.9887372752869829,2,1.3877787807814457e-17,0.010087685390995249,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
unit_change,seconds,derive_time,-0.003776916721213275,-0.0035849831310941216,0.010437831210177828,0.34346053877537697,True,True,True,9,512,4,0.9887372752869829,2,1.734723475976807e-18,0.010629764800296981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
predicate_flip,fare>5,filter_valid,0.0100861171658011,-0.0009213300418861037,0.010437831210177828,0.08826834074378628,False,False,False,9,512,4,0.9878709118475201,2,3.2526065174565133e-19,0.0005696159975093762,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.16666666666666666,1.0,1.0
predicate_flip,fare>10,filter_valid,-0.0035576725119346175,-0.02254737691920139,0.010437831210177828,2.1601591810773546,True,True,True,9,512,4,0.9878709118475201,2,3.469446951953614e-18,0.008551873197088944,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.16666666666666666,1.0,1.0
predicate_flip,fare>20,filter_valid,-0.03380769253053251,-0.03321910643143067,0.010437831210177828,3.1825678881489323,True,True,True,9,512,4,0.9878709118475201,2,2.0816681711721685e-17,0.011026417309279668,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2,1.0,1.0
predicate_flip,fare>35,filter_valid,-0.03201352314480288,-0.028779356960964342,0.010437831210177828,2.7572161669851365,True,True,True,9,512,4,0.9878709118475201,2,2.7755575615628914e-17,0.013671997394016366,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0
broken_join_key,20%,join_pu_zone,0.010334961060697312,-0.00023054944075773243,0.010437831210177828,0.022087868266438902,False,False,False,9,512,4,0.9904700021659086,2,1.3552527156068805e-20,0.00012767929127721622,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0
broken_join_key,50%,join_pu_zone,0.009665313084951999,0.0011194484048533404,0.010437831210177828,0.10724913847637017,False,False,False,9,512,4,0.9904700021659086,2,3.2526065174565133e-19,0.00189196653007917,0.0,0.125,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0
broken_join_key,80%,join_pu_zone,0.007342376126547312,0.001370321501801941,0.010437831210177828,0.13128412159661615,False,False,False,9,512,4,0.9904700021659086,2,8.673617379884035e-19,0.004465776585432457,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0
broken_join_key,100%,join_pu_zone,0.007430372993278533,0.0005007587091567789,0.010437831210177828,0.04797535992615917,False,False,False,9,512,4,0.9904700021659086,2,8.673617379884035e-19,0.0035082169260560736,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0
join_fanout,20%,join_do_zone,0.010498173984796355,0.0004026700647350445,0.010437831210177828,0.03857794369604337,False,False,False,9,512,4,0.9913363656053714,2,1.3552527156068805e-20,0.0003423272901165175,0.0,0.125,0.0,0.1111111111111111,0.0,0.125,1.0,1.0,0.0,0.125
join_fanout,50%,join_do_zone,0.012122717444840392,0.00134064046732707,0.010437831210177828,0.1284405199060725,False,False,False,9,512,4,0.9913363656053714,2,0.0,0.0003442457673354937,0.0,0.125,0.0,0.1111111111111111,0.0,0.125,1.0,1.0,0.0,0.125
join_fanout,100%,join_do_zone,0.010438891005013717,3.9386405092933785e-06,0.010437831210177828,0.0003773428052230667,False,False,False,9,512,4,0.9913363656053714,2,8.470329472543003e-22,2.878845673404129e-06,0.0,0.125,0.0,0.1111111111111111,0.0,0.125,1.0,1.0,0.0,0.125
schema_drift,drop hour,encode,0.006765856774616719,-0.005072794979792072,0.010437831210177828,0.48600086336380294,False,True,False,9,512,4,0.9930690924842972,2,0.0,0.001400820544230963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
schema_drift,drop distance,encode,0.009351266951056814,8.213184008643015e-05,0.010437831210177828,0.007868669116467815,False,False,False,9,512,4,0.9930690924842972,2,0.0,0.0011686960992074447,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
schema_drift,drop distance+duration,encode,0.005080317489405073,-0.0017948631107075341,0.010437831210177828,0.1719574760853941,False,False,False,9,512,4,0.9930690924842972,2,3.469446951953614e-18,0.003562650610065221,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
schema_drift,drop distance+duration+fare,encode,-0.025706207282076732,-0.026341947472301563,0.010437831210177828,2.5236993147212217,True,True,True,9,512,4,0.9930690924842972,2,0.0,0.009802091019952996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
